,wals code,glottocode,name,latitude,longitude,macroarea,genus,family,sample 100,sample 200
29,adt,adyg1241,Adyghe (Temirgoy),45.2166666667,39.7,Eurasia,Northwest Caucasian,Northwest Caucasian,False,False
30,ady,None,Adyghe (Abzakh),45.2333333333,40.5833333333,Eurasia,Northwest Caucasian,Northwest Caucasian,False,False
31,adz,adze1240,Adzera,-6.25,146.25,Papunesia,Oceanic,Austronesian,False,False
32,aea,aleu1260,Aleut (Eastern),54.75,-164.0,North America,Aleut,Eskimo-Aleut,False,False
33,aeg,egyp1253,Arabic (Egyptian),30.0,31.0,Africa,Semitic,Afro-Asiatic,True,True
34,ael,liby1240,Arabic (Eastern Libyan),32.0,22.0,Africa,Semitic,Afro-Asiatic,False,False
35,afr,afri1274,Afrikaans,-31.0,22.0,Africa,Germanic,Indo-European,False,False
36,aga,agar1252,Agarabi,-6.16666666667,146.0,Papunesia,Eastern Highlands,Trans-New Guinea,False,False
37,agb,legb1242,Leggbó,6.0,8.0,Africa,Cross River,Niger-Congo,False,False
38,agc,cent2084,Agta (Central),17.9666666667,121.833333333,Papunesia,Greater Central Philippine,Austronesian,False,False
39,agd,dupa1235,Agta (Dupaningan),18.0,122.083333333,Papunesia,Greater Central Philippine,Austronesian,False,False
40,agh,aghe1239,Aghem,6.66666666667,10.0,Africa,Bantoid,Niger-Congo,False,False
41,agl,aghu1253,Aghul,41.75,47.6666666667,Eurasia,Lezgic,Nakh-Daghestanian,False,False
42,agm,anga1287,Angami,25.6666666667,94.5,Eurasia,Kuki-Chin,Sino-Tibetan,False,False
43,ago,ango1258,Angolar,0.25,6.5,Africa,Creoles and Pidgins,other,False,False
44,agr,agua1253,Aguaruna,-5.0,-78.0,South America,Jivaroan,Jivaroan,False,False
45,agt,leni1238,Anguthimri,-12.3333333333,141.833333333,Australia,Northern Pama-Nyungan,Pama-Nyungan,False,False
46,agu,agua1252,Aguacatec,15.4166666667,-91.3333333333,North America,Mayan,Mayan,False,False
47,agw,alag1248,Alagwa,-5.5,35.75,Africa,Southern Cushitic,Afro-Asiatic,False,False
48,aho,arap1274,Arapaho,40.0,-103.0,North America,Algonquian,Algic,False,False
49,ahs,hass1238,Arabic (Bani-Hassan),20.0,-10.0,Africa,Semitic,Afro-Asiatic,False,False
50,aht,ahte1237,Ahtna,62.0,-145.0,North America,Athapaskan,Na-Dene,False,False
51,ahu,aghu1255,Aghu,-6.16666666667,140.166666667,Papunesia,Awju-Dumut,Trans-New Guinea,False,False
52,aik,aika1237,Aikaná,-12.6666666667,-60.6666666667,South America,Aikaná,Aikaná,False,False
53,ain,ainu1240,Ainu,43.0,143.0,Eurasia,Ainu,Ainu,False,True
54,aiz,apro1235,Aizi,5.25,-4.5,Africa,Kru,Niger-Congo,False,False
55,aja,ajas1235,Aja,7.33333333333,25.6666666667,Africa,Kresh,Central Sudanic,False,False
56,ajg,ajab1235,Ajagbe,7.0,1.75,Africa,Kwa,Niger-Congo,False,False
57,aji,ajie1238,Ajië,-21.3333333333,165.5,Papunesia,Oceanic,Austronesian,False,False
58,aka,yaka1272,Aka,2.66666666667,16.25,Africa,Bantoid,Niger-Congo,False,False
59,akb,akab1249,Aka-Biada,11.6666666667,92.5,Eurasia,Great Andamanese,Great Andamanese,False,False
60,akc,akac1240,Aka-Cari,13.5,93.0,Eurasia,Great Andamanese,Great Andamanese,False,False
61,akh,akha1245,Akha,21.8333333333,99.8333333333,Eurasia,Burmese-Lolo,Sino-Tibetan,False,False
62,akk,akak1252,Aka-Kede,12.75,92.75,Eurasia,Great Andamanese,Great Andamanese,False,False
63,akl,akla1241,Aklanon,11.5833333333,122.333333333,Papunesia,Greater Central Philippine,Austronesian,False,False
64,akm,marm1234,Arakanese (Marma),21.5,92.5,Eurasia,Burmese-Lolo,Sino-Tibetan,False,False
65,akn,akan1250,Akan,6.5,-1.25,Africa,Kwa,Niger-Congo,False,False
66,ako,cypr1248,Arabic (Kormakiti),35.25,33.5,Eurasia,Semitic,Afro-Asiatic,False,False
67,akr,arik1262,Arikara,45.5,-100.5,North America,Caddoan,Caddoan,False,False
68,akw,akaw1239,Akawaio,6.0,-59.5,South America,Cariban,Cariban,False,False
69,ala,alam1246,Alamblak,-4.66666666667,143.333333333,Papunesia,Sepik Hill,Sepik,True,True
70,alb,None,Albanian,41.0,20.0,Eurasia,Albanian,Indo-European,False,False
71,alc,alle1238,Allentiac,-31.0,-68.0,South America,Huarpe,Huarpe,False,False
72,ald,alla1248,Alladian,5.16666666667,-4.33333333333,Africa,Kwa,Niger-Congo,False,False
73,ale,None,Aleut,54.0,-166.0,North America,Aleut,Eskimo-Aleut,False,False
74,alg,algo1255,Algonquin,46.0,-77.0,North America,Algonquian,Algic,False,False
75,alk,arop1243,Arop-Lokep,-5.38333333333,147.05,Papunesia,Oceanic,Austronesian,False,False
76,all,lala1268,Ala'ala,-8.91666666667,146.75,Papunesia,Oceanic,Austronesian,False,False
